County/State,Population
"Rock Island County, Illinois",145275
"St. Clair County, Illinois",263463
"Saline County, Illinois",24231
"Sangamon County, Illinois",197661
"Schuyler County, Illinois",7064
"Scott County, Illinois",5047
"Shelby County, Illinois",21832
"Stark County, Illinois",5500
"Stephenson County, Illinois",45433
"Tazewell County, Illinois",133852
"Union County, Illinois",17127
"Vermilion County, Illinois",78407
"Wabash County, Illinois",11573
"Warren County, Illinois",17338
"Washington County, Illinois",14155
"Wayne County, Illinois",16487
"White County, Illinois",14025
"Whiteside County, Illinois",56396
"Will County, Illinois",688697
"Williamson County, Illinois",67299
"Winnebago County, Illinois",286174
"Woodford County, Illinois",38817
"Adams County, Indiana",35195
"Allen County, Indiana",370016
"Bartholomew County, Indiana",81893
"Benton County, Indiana",8667
"Blackford County, Indiana",12129
"Boone County, Indiana",64321
"Brown County, Indiana",15034
"Carroll County, Indiana",19994
"Cass County, Indiana",38084
"Clark County, Indiana",115702
"Clay County, Indiana",26268
"Clinton County, Indiana",32301
"Crawford County, Indiana",10581
"Daviess County, Indiana",32937
"Dearborn County, Indiana",49501
"Decatur County, Indiana",26552
"DeKalb County, Indiana",42704
"Delaware County, Indiana",115616
"Dubois County, Indiana",42418
"Elkhart County, Indiana",203604
"Fayette County, Indiana",23259
"Floyd County, Indiana",76809
"Fountain County, Indiana",16486
"Franklin County, Indiana",22842
"Fulton County, Indiana",20212
"Gibson County, Indiana",33596
"Grant County, Indiana",66944
"Greene County, Indiana",32295
"Hamilton County, Indiana",316095
"Hancock County, Indiana",73830
"Harrison County, Indiana",39712
"Hendricks County, Indiana",160940
"Henry County, Indiana",48483
"Howard County, Indiana",82387
"Huntington County, Indiana",36378
"Jackson County, Indiana",43938
"Jasper County, Indiana",33449
"Jay County, Indiana",20993
"Jefferson County, Indiana",32237
"Jennings County, Indiana",27727
"Johnson County, Indiana",151564
"Knox County, Indiana",37409
"Kosciusko County, Indiana",78806
"LaGrange County, Indiana",38942
"Lake County, Indiana",486849
"LaPorte County, Indiana",110552
"Lawrence County, Indiana",45619
"Madison County, Indiana",129505
"Marion County, Indiana",944523
"Marshall County, Indiana",46595
"Martin County, Indiana",10210
"Miami County, Indiana",35901
"Monroe County, Indiana",145403
"Montgomery County, Indiana",38276
"Morgan County, Indiana",69727
"Newton County, Indiana",14018
"Noble County, Indiana",47451
"Ohio County, Indiana",5887
"Orange County, Indiana",19547
"Owen County, Indiana",20878
"Parke County, Indiana",16996
"Perry County, Indiana",19141
"Pike County, Indiana",12411
"Porter County, Indiana",168041
"Posey County, Indiana",25589
"Pulaski County, Indiana",12660
"Putnam County, Indiana",37559
"Randolph County, Indiana",25076
"Ripley County, Indiana",28425
"Rush County, Indiana",16704
"St. Joseph County, Indiana",269240
"Scott County, Indiana",23743
"Shelby County, Indiana",44399
"Spencer County, Indiana",20526
"Starke County, Indiana",22941
"Steuben County, Indiana",34474
"Sullivan County, Indiana",20792
"Switzerland County, Indiana",10628
"Tippecanoe County, Indiana",189294
"Tipton County, Indiana",15218
"Union County, Indiana",7153
"Vanderburgh County, Indiana",181313
"Vermillion County, Indiana",15560
"Vigo County, Indiana",107693
"Wabash County, Indiana",31631
