County/State,Population
"Haskell County, Kansas",4047
"Hodgeman County, Kansas",1842
"Jackson County, Kansas",13318
"Jefferson County, Kansas",18888
"Jewell County, Kansas",2916
"Johnson County, Kansas",585502
"Kearny County, Kansas",3932
"Kingman County, Kansas",7470
"Kiowa County, Kansas",2526
"Labette County, Kansas",20367
"Lane County, Kansas",1642
"Leavenworth County, Kansas",80042
"Lincoln County, Kansas",3097
"Linn County, Kansas",9635
"Logan County, Kansas",2810
"Lyon County, Kansas",33299
"McPherson County, Kansas",28630
"Marion County, Kansas",12032
"Marshall County, Kansas",9798
"Meade County, Kansas",4261
"Miami County, Kansas",33127
"Mitchell County, Kansas",6222
"Montgomery County, Kansas",32970
"Morris County, Kansas",5566
"Morton County, Kansas",2838
"Nemaha County, Kansas",10104
"Neosho County, Kansas",16125
"Ness County, Kansas",2955
"Norton County, Kansas",5486
"Osage County, Kansas",15882
"Osborne County, Kansas",3603
"Ottawa County, Kansas",5902
"Pawnee County, Kansas",6709
"Phillips County, Kansas",5408
"Pottawatomie County, Kansas",23545
"Pratt County, Kansas",9582
"Rawlins County, Kansas",2509
"Reno County, Kansas",63101
"Republic County, Kansas",4686
"Rice County, Kansas",9762
"Riley County, Kansas",75296
"Rooks County, Kansas",5118
"Rush County, Kansas",3102
"Russell County, Kansas",6977
"Saline County, Kansas",54977
"Scott County, Kansas",4949
"Sedgwick County, Kansas",512064
"Seward County, Kansas",22692
"Shawnee County, Kansas",178284
"Sheridan County, Kansas",2506
"Sherman County, Kansas",5966
"Smith County, Kansas",3663
"Stafford County, Kansas",4214
"Stanton County, Kansas",2063
"Stevens County, Kansas",5686
"Sumner County, Kansas",23208
"Thomas County, Kansas",7824
"Trego County, Kansas",2858
"Wabaunsee County, Kansas",6888
"Wallace County, Kansas",1575
"Washington County, Kansas",5525
"Wichita County, Kansas",2143
"Wilson County, Kansas",8780
"Woodson County, Kansas",3170
"Wyandotte County, Kansas",164345
"Adair County, Kentucky",19241
"Allen County, Kentucky",20794
"Anderson County, Kentucky",22214
"Ballard County, Kentucky",8090
"Barren County, Kentucky",43680
"Bath County, Kentucky",12268
"Bell County, Kentucky",27188
"Boone County, Kentucky",129095
"Bourbon County, Kentucky",20144
"Boyd County, Kentucky",48091
"Boyle County, Kentucky",29913
"Bracken County, Kentucky",8306
"Breathitt County, Kentucky",13116
"Breckinridge County, Kentucky",20080
"Bullitt County, Kentucky",79466
"Butler County, Kentucky",12745
"Caldwell County, Kentucky",12727
"Calloway County, Kentucky",38776
"Campbell County, Kentucky",92267
"Carlisle County, Kentucky",4841
"Carroll County, Kentucky",10711
"Carter County, Kentucky",27290
"Casey County, Kentucky",15796
"Christian County, Kentucky",72263
"Clark County, Kentucky",35872
"Clay County, Kentucky",20621
"Clinton County, Kentucky",10211
"Crittenden County, Kentucky",9083
"Cumberland County, Kentucky",6713
"Daviess County, Kentucky",99937
"Edmonson County, Kentucky",12122
"Elliott County, Kentucky",7517
"Estill County, Kentucky",14313
"Fayette County, Kentucky",318734
"Fleming County, Kentucky",14479
"Floyd County, Kentucky",36926
"Franklin County, Kentucky",50296
"Fulton County, Kentucky",6210
"Gallatin County, Kentucky",8703
"Garrard County, Kentucky",17328
"Grant County, Kentucky",24915
"Graves County, Kentucky",37294
"Grayson County, Kentucky",26178
"Green County, Kentucky",11023
"Greenup County, Kentucky",35765
"Hancock County, Kentucky",8719
"Hardin County, Kentucky",108095
"Harlan County, Kentucky",27134
"Harrison County, Kentucky",18668
"Hart County, Kentucky",18627
"Henderson County, Kentucky",46137
"Henry County, Kentucky",15814
"Hickman County, Kentucky",4568
"Hopkins County, Kentucky",45664
"Jackson County, Kentucky",13373
"Jefferson County, Kentucky",767154
"Jessamine County, Kentucky",52422
"Johnson County, Kentucky",22843
"Kenton County, Kentucky",164688
"Knott County, Kentucky",15513
"Knox County, Kentucky",31467
"Larue County, Kentucky",14156
"Laurel County, Kentucky",60180
"Lawrence County, Kentucky",15783
"Lee County, Kentucky",6751
"Leslie County, Kentucky",10472
"Letcher County, Kentucky",22676
"Lewis County, Kentucky",13490
"Lincoln County, Kentucky",24458
"Livingston County, Kentucky",9263
"Logan County, Kentucky",26849
"Lyon County, Kentucky",8186
"McCracken County, Kentucky",65284
"McCreary County, Kentucky",17635
"McLean County, Kentucky",9331
"Madison County, Kentucky",89700
"Magoffin County, Kentucky",12666
"Marion County, Kentucky",19232
"Marshall County, Kentucky",31166
"Martin County, Kentucky",11919
"Mason County, Kentucky",17153
"Meade County, Kentucky",28326
"Menifee County, Kentucky",6405
"Mercer County, Kentucky",21516
"Metcalfe County, Kentucky",10004
"Monroe County, Kentucky",10634
"Montgomery County, Kentucky",27759
"Morgan County, Kentucky",13285
"Muhlenberg County, Kentucky",31081
"Nelson County, Kentucky",45388
"Nicholas County, Kentucky",7100
"Ohio County, Kentucky",24071
"Oldham County, Kentucky",65374
"Owen County, Kentucky",10741
"Owsley County, Kentucky",4463
"Pendleton County, Kentucky",14520
"Perry County, Kentucky",26917
"Pike County, Kentucky",60483
"Powell County, Kentucky",12321
"Pulaski County, Kentucky",64145
"Robertson County, Kentucky",2143
"Rockcastle County, Kentucky",16827
"Rowan County, Kentucky",24499
"Russell County, Kentucky",17760
"Scott County, Kentucky",53517
"Shelby County, Kentucky",46786
"Simpson County, Kentucky",18063
"Spencer County, Kentucky",18246
"Taylor County, Kentucky",25500
"Todd County, Kentucky",12350
"Trigg County, Kentucky",14344
"Trimble County, Kentucky",8637
"Union County, Kentucky",14802
"Warren County, Kentucky",126427
"Washington County, Kentucky",12019
"Wayne County, Kentucky",20609
"Webster County, Kentucky",13155
"Whitley County, Kentucky",36089
"Wolfe County, Kentucky",7223
"Woodford County, Kentucky",26097
"Acadia Parish, Louisiana",62568
"Allen Parish, Louisiana",25661
"Ascension Parish, Louisiana",121176
"Assumption Parish, Louisiana",22714
"Avoyelles Parish, Louisiana",40882
"Beauregard Parish, Louisiana",36769
"Bienville Parish, Louisiana",13668
"Bossier Parish, Louisiana",126131
"Caddo Parish, Louisiana",248361
"Calcasieu Parish, Louisiana",200182
"Caldwell Parish, Louisiana",9996
"Cameron Parish, Louisiana",6868
"Catahoula Parish, Louisiana",9893
"Claiborne Parish, Louisiana",16153
"Concordia Parish, Louisiana",20021
"De Soto Parish, Louisiana",27216
"East Baton Rouge Parish, Louisiana",444094
"East Carroll Parish, Louisiana",7225
"East Feliciana Parish, Louisiana",19499
"Evangeline Parish, Louisiana",33636
"Franklin Parish, Louisiana",20322
"Grant Parish, Louisiana",22348
"Iberia Parish, Louisiana",72691
"Iberville Parish, Louisiana",32956
"Jackson Parish, Louisiana",15926
"Jefferson Parish, Louisiana",435300
"Jefferson Davis Parish, Louisiana",31467
"Lafayette Parish, Louisiana",240091
"Lafourche Parish, Louisiana",98214
"LaSalle Parish, Louisiana",14949
"Lincoln Parish, Louisiana",47356
"Livingston Parish, Louisiana",138111
"Madison Parish, Louisiana",11472
"Morehouse Parish, Louisiana",25992
"Natchitoches Parish, Louisiana",38963
"Orleans Parish, Louisiana",389648
"Ouachita Parish, Louisiana",156075
"Plaquemines Parish, Louisiana",23373
"Pointe Coupee Parish, Louisiana",22158
"Rapides Parish, Louisiana",131546
"Red River Parish, Louisiana",8618
"Richland Parish, Louisiana",20474
"Sabine Parish, Louisiana",24088
"St. Bernard Parish, Louisiana",45694
"St. Charles Parish, Louisiana",52724
"St. Helena Parish, Louisiana",10411
"St. James Parish, Louisiana",21357
"St. John the Baptist Parish, Louisiana",43446
"St. Landry Parish, Louisiana",83449
"St. Martin Parish, Louisiana",53752
"St. Mary Parish, Louisiana",51734
"St. Tammany Parish, Louisiana",252093
"Tangipahoa Parish, Louisiana",130504
"Tensas Parish, Louisiana",4666
"Terrebonne Parish, Louisiana",112587
"Union Parish, Louisiana",22475
"Vermilion Parish, Louisiana",59867
"Vernon Parish, Louisiana",51007
"Washington Parish, Louisiana",46457
"Webster Parish, Louisiana",39631
"West Baton Rouge Parish, Louisiana",25860
"West Carroll Parish, Louisiana",11180
"West Feliciana Parish, Louisiana",15377
"Winn Parish, Louisiana",14494
"Androscoggin County, Maine",107444
"Aroostook County, Maine",68269
"Cumberland County, Maine",290944
"Franklin County, Maine",30019
"Hancock County, Maine",54541
"Kennebec County, Maine",121545
"Knox County, Maine",39823
"Lincoln County, Maine",34067
"Oxford County, Maine",57325
"Penobscot County, Maine",151748
"Piscataquis County, Maine",16887
"Sagadahoc County, Maine",35277
"Somerset County, Maine",50710
"Waldo County, Maine",39418
"Washington County, Maine",31694
"York County, Maine",203102
"Allegany County, Maryland",71977
"Anne Arundel County, Maryland",567696
"Baltimore County, Maryland",827625
"Calvert County, Maryland",91082
"Caroline County, Maryland",32875
"Carroll County, Maryland",167522
"Cecil County, Maryland",102517
"Charles County, Maryland",157671
"Dorchester County, Maryland",32261
"Frederick County, Maryland",248472
"Garrett County, Maryland",29376
"Harford County, Maryland",251025
"Howard County, Maryland",315327
"Kent County, Maryland",19593
"Montgomery County, Maryland",1040133
"Prince George's County, Maryland",906202
"Queen Anne's County, Maryland",49355
"St. Mary's County, Maryland",111531
"Somerset County, Maryland",25737
"Talbot County, Maryland",37211
"Washington County, Maryland",149811
"Wicomico County, Maryland",102172
"Worcester County, Maryland",51564
"Baltimore city, Maryland",614700
"Barnstable County, Massachusetts",213690
"Berkshire County, Massachusetts",127328
"Bristol County, Massachusetts",558905
"Dukes County, Massachusetts",17313
"Essex County, Massachusetts",781024
"Franklin County, Massachusetts",70935
"Hampden County, Massachusetts",469116
"Hampshire County, Massachusetts",161159
"Middlesex County, Massachusetts",1595192
"Nantucket County, Massachusetts",11101
"Norfolk County, Massachusetts",698249
"Plymouth County, Massachusetts",512135
"Suffolk County, Massachusetts",791766
"Worcester County, Massachusetts",822280
"Alcona County, Michigan",10364
"Alger County, Michigan",9194
"Allegan County, Michigan",115250
"Alpena County, Michigan",28612
"Antrim County, Michigan",23177
"Arenac County, Michigan",15165
"Baraga County, Michigan",8507
"Barry County, Michigan",60057
"Bay County, Michigan",104786
"Benzie County, Michigan",17552
"Berrien County, Michigan",154807
"Branch County, Michigan",43584
"Calhoun County, Michigan",134473
"Cass County, Michigan",51460
"Charlevoix County, Michigan",26219
"Cheboygan County, Michigan",25458
"Chippewa County, Michigan",37834
"Clare County, Michigan",30616
"Clinton County, Michigan",77896
"Crawford County, Michigan",13836
"Delta County, Michigan",36190
"Dickinson County, Michigan",25570
"Eaton County, Michigan",109155
"Emmet County, Michigan",33039
"Genesee County, Michigan",409361
"Gladwin County, Michigan",25289
"Gogebic County, Michigan",15414
"Grand Traverse County, Michigan",91746
"Gratiot County, Michigan",41067
"Hillsdale County, Michigan",45830
"Houghton County, Michigan",36360
"Huron County, Michigan",31543
"Ingham County, Michigan",289564
"Ionia County, Michigan",64176
"Iosco County, Michigan",25247
"Iron County, Michigan",11212
"Isabella County, Michigan",70775
"Jackson County, Michigan",158913
"Kalamazoo County, Michigan",261573
"Kalkaska County, Michigan",17463
"Kent County, Michigan",643140
"Keweenaw County, Michigan",2130
"Lake County, Michigan",11763
"Lapeer County, Michigan",88202
"Leelanau County, Michigan",21639
"Lenawee County, Michigan",98474
"Livingston County, Michigan",188482
"Luce County, Michigan",6364
"Mackinac County, Michigan",10817
"Macomb County, Michigan",868704
"Manistee County, Michigan",24444
"Marquette County, Michigan",66939
"Mason County, Michigan",28884
"Mecosta County, Michigan",43264
"Menominee County, Michigan",23234
"Midland County, Michigan",83389
"Missaukee County, Michigan",15006
"Monroe County, Michigan",149699
"Montcalm County, Michigan",63209
"Montmorency County, Michigan",9261
"Muskegon County, Michigan",173043
"Newaygo County, Michigan",48142
"Oakland County, Michigan",1250843
"Oceana County, Michigan",26417
"Ogemaw County, Michigan",20928
"Ontonagon County, Michigan",5968
"Osceola County, Michigan",23232
"Oscoda County, Michigan",8277
"Otsego County, Michigan",24397
"Ottawa County, Michigan",284034
"Presque Isle County, Michigan",12797
"Roscommon County, Michigan",23877
"Saginaw County, Michigan",192778
"St. Clair County, Michigan",159566
"St. Joseph County, Michigan",60897
"Sanilac County, Michigan",41376
"Schoolcraft County, Michigan",8069
"Shiawassee County, Michigan",68493
"Tuscola County, Michigan",53250
"Van Buren County, Michigan",75272
"Washtenaw County, Michigan",365961
"Wayne County, Michigan",1761382
"Wexford County, Michigan",33111
"Aitkin County, Minnesota",15834
"Anoka County, Minnesota",347431
"Becker County, Minnesota",33773
"Beltrami County, Minnesota",46117
"Benton County, Minnesota",39779
"Big Stone County, Minnesota",5016
"Blue Earth County, Minnesota",66322
"Brown County, Minnesota",25211
"Carlton County, Minnesota",35540
"Carver County, Minnesota",100416
"Cass County, Minnesota",29022
"Chippewa County, Minnesota",12010
"Chisago County, Minnesota",54727
"Clay County, Minnesota",62801
"Clearwater County, Minnesota",8812
"Cook County, Minnesota",5311
"Cottonwood County, Minnesota",11372
"Crow Wing County, Minnesota",63855
"Dakota County, Minnesota",418201
"Dodge County, Minnesota",20582
"Douglas County, Minnesota",37203
"Faribault County, Minnesota",13896
"Fillmore County, Minnesota",20888
"Freeborn County, Minnesota",30526
"Goodhue County, Minnesota",46217
"Grant County, Minnesota",5938
"Hennepin County, Minnesota",1235478
"Houston County, Minnesota",18663
"Hubbard County, Minnesota",20862
"Isanti County, Minnesota",38974
"Itasca County, Minnesota",45203
"Jackson County, Minnesota",10047
"Kanabec County, Minnesota",16004
"Kandiyohi County, Minnesota",42658
"Kittson County, Minnesota",4337
"Koochiching County, Minnesota",12644
"Lac qui Parle County, Minnesota",6773
"Lake County, Minnesota",10569
"Lake of the Woods County, Minnesota",3809
"Le Sueur County, Minnesota",27983
"Lincoln County, Minnesota",5707
"Lyon County, Minnesota",25839
"McLeod County, Minnesota",35825
"Mahnomen County, Minnesota",5506
"Marshall County, Minnesota",9392
"Martin County, Minnesota",19964
"Meeker County, Minnesota",23079
"Mille Lacs County, Minnesota",25728
"Morrison County, Minnesota",32949
"Mower County, Minnesota",39602
"Murray County, Minnesota",8353
"Nicollet County, Minnesota",33783
"Nobles County, Minnesota",21839
"Norman County, Minnesota",6559
"Olmsted County, Minnesota",153065
"Otter Tail County, Minnesota",57992
"Pennington County, Minnesota",14184
"Pine County, Minnesota",29129
"Pipestone County, Minnesota",9185
"Polk County, Minnesota",31591
"Pope County, Minnesota",10980
"Ramsey County, Minnesota",541493
"Red Lake County, Minnesota",4008
"Redwood County, Minnesota",15331
"Renville County, Minnesota",14721
"Rice County, Minnesota",65765
"Rock County, Minnesota",9413
"Roseau County, Minnesota",15462
"St. Louis County, Minnesota",200080
"Scott County, Minnesota",143372
"Sherburne County, Minnesota",93231
"Sibley County, Minnesota",14912
"Stearns County, Minnesota",156819
"Steele County, Minnesota",36676
"Stevens County, Minnesota",9784
"Swift County, Minnesota",9411
"Todd County, Minnesota",24440
"Traverse County, Minnesota",3337
"Wabasha County, Minnesota",21500
"Wadena County, Minnesota",13646
"Waseca County, Minnesota",18809
"Washington County, Minnesota",253317
"Watonwan County, Minnesota",10973
"Wilkin County, Minnesota",6343
"Winona County, Minnesota",50847
"Wright County, Minnesota",132745
"Yellow Medicine County, Minnesota",9868
"Adams County, Mississippi",31547
"Alcorn County, Mississippi",37180
"Amite County, Mississippi",12468
"Attala County, Mississippi",18581
"Benton County, Mississippi",8253
"Bolivar County, Mississippi",32592
"Calhoun County, Mississippi",14571
"Carroll County, Mississippi",10129
"Chickasaw County, Mississippi",17279
"Choctaw County, Mississippi",8321
"Claiborne County, Mississippi",9120
"Clarke County, Mississippi",15928
"Clay County, Mississippi",19808
"Coahoma County, Mississippi",23802
"Copiah County, Mississippi",28721
"Covington County, Mississippi",19091
"DeSoto County, Mississippi",176132
"Forrest County, Mississippi",75517
"Franklin County, Mississippi",7757
"George County, Mississippi",23710
"Greene County, Mississippi",13714
"Grenada County, Mississippi",21278
"Hancock County, Mississippi",46653
"Harrison County, Mississippi",202626
"Hinds County, Mississippi",241774
"Holmes County, Mississippi",18075
"Humphreys County, Mississippi",8539
"Issaquena County, Mississippi",1328
"Itawamba County, Mississippi",23480
"Jackson County, Mississippi",142014
"Jasper County, Mississippi",16529
"Jefferson County, Mississippi",7346
"Jefferson Davis County, Mississippi",11495
"Jones County, Mississippi",68454
"Kemper County, Mississippi",10107
"Lafayette County, Mississippi",53459
"Lamar County, Mississippi",61223
"Lauderdale County, Mississippi",77323
"Lawrence County, Mississippi",12630
"Leake County, Mississippi",22870
"Lee County, Mississippi",84915
"Leflore County, Mississippi",29804
"Lincoln County, Mississippi",34432
"Lowndes County, Mississippi",59437
"Madison County, Mississippi",103498
"Marion County, Mississippi",25202
"Marshall County, Mississippi",35787
"Monroe County, Mississippi",35840
"Montgomery County, Mississippi",10198
"Neshoba County, Mississippi",29376
"Newton County, Mississippi",21524
"Noxubee County, Mississippi",10828
"Oktibbeha County, Mississippi",49481
"Panola County, Mississippi",34243
"Pearl River County, Mississippi",55149
"Perry County, Mississippi",12028
"Pike County, Mississippi",39737
"Pontotoc County, Mississippi",31315
"Prentiss County, Mississippi",25360
"Quitman County, Mississippi",7372
"Rankin County, Mississippi",151240
"Scott County, Mississippi",28415
"Sharkey County, Mississippi",4511
"Simpson County, Mississippi",27073
"Smith County, Mississippi",16063
"Stone County, Mississippi",18375
"Sunflower County, Mississippi",26532
"Tallahatchie County, Mississippi",14361
"Tate County, Mississippi",28493
"Tippah County, Mississippi",21990
"Tishomingo County, Mississippi",19478
"Tunica County, Mississippi",10170
"Union County, Mississippi",28356
"Walthall County, Mississippi",14601
"Warren County, Mississippi",47075
"Washington County, Mississippi",47086
"Wayne County, Mississippi",20422
"Webster County, Mississippi",9828
"Wilkinson County, Mississippi",8990
"Winston County, Mississippi",18358
"Yalobusha County, Mississippi",12421
"Yazoo County, Mississippi",27974
"Adair County, Missouri",25325
"Andrew County, Missouri",17403
"Atchison County, Missouri",5270
"Audrain County, Missouri",25735
"Barry County, Missouri",35493
"Barton County, Missouri",11850
"Bates County, Missouri",16374
"Benton County, Missouri",18989
"Bollinger County, Missouri",12281
"Boone County, Missouri",176515
"Buchanan County, Missouri",89076
"Butler County, Missouri",42733
"Caldwell County, Missouri",9049
"Callaway County, Missouri",44840
"Camden County, Missouri",45096
"Cape Girardeau County, Missouri",78324
"Carroll County, Missouri",8843
"Carter County, Missouri",6197
"Cass County, Missouri",102678
"Cedar County, Missouri",13938
"Chariton County, Missouri",7546
"Christian County, Missouri",84275
"Clark County, Missouri",6800
"Clay County, Missouri",239164
"Clinton County, Missouri",20475
"Cole County, Missouri",76740
"Cooper County, Missouri",17622
"Crawford County, Missouri",24280
"Dade County, Missouri",7590
"Dallas County, Missouri",16499
"Daviess County, Missouri",8302
"DeKalb County, Missouri",12564
"Dent County, Missouri",15504
"Douglas County, Missouri",13374
"Dunklin County, Missouri",30428
"Franklin County, Missouri",102781
"Gasconade County, Missouri",14746
"Gentry County, Missouri",6665
"Greene County, Missouri",288429
"Grundy County, Missouri",10039
"Harrison County, Missouri",8554
"Henry County, Missouri",21765
"Hickory County, Missouri",9368
"Holt County, Missouri",4456
"Howard County, Missouri",10113
"Howell County, Missouri",40102
"Iron County, Missouri",10221
"Jackson County, Missouri",692003
"Jasper County, Missouri",119238
"Jefferson County, Missouri",223302
"Johnson County, Missouri",53689
"Knox County, Missouri",3951
"Laclede County, Missouri",35507
"Lafayette County, Missouri",32589
"Lawrence County, Missouri",38133
"Lewis County, Missouri",10027
"Lincoln County, Missouri",55563
"Linn County, Missouri",12186
"Livingston County, Missouri",15076
"McDonald County, Missouri",22827
"Macon County, Missouri",15254
"Madison County, Missouri",12205
"Maries County, Missouri",8884
"Marion County, Missouri",28672
"Mercer County, Missouri",3664
"Miller County, Missouri",25049
"Mississippi County, Missouri",13748
"Moniteau County, Missouri",15958
"Monroe County, Missouri",8654
"Montgomery County, Missouri",11545
"Morgan County, Missouri",20137
"New Madrid County, Missouri",17811
"Newton County, Missouri",58202
"Nodaway County, Missouri",22547
"Oregon County, Missouri",10699
"Osage County, Missouri",13619
"Ozark County, Missouri",9236
"Pemiscot County, Missouri",17031
"Perry County, Missouri",19146
"Pettis County, Missouri",42371
"Phelps County, Missouri",44789
"Pike County, Missouri",18489
"Platte County, Missouri",98824
"Polk County, Missouri",31549
"Pulaski County, Missouri",52591
"Putnam County, Missouri",4815
"Ralls County, Missouri",10217
"Randolph County, Missouri",24945
"Ray County, Missouri",22825
"Reynolds County, Missouri",6315
"Ripley County, Missouri",13693
"St. Charles County, Missouri",389985
"St. Clair County, Missouri",9383
"Ste. Genevieve County, Missouri",17871
"St. Francois County, Missouri",66342
"St. Louis County, Missouri",998684
"Saline County, Missouri",23102
"Schuyler County, Missouri",4502
"Scotland County, Missouri",4898
"Scott County, Missouri",38729
"Shannon County, Missouri",8246
"Shelby County, Missouri",6061
"Stoddard County, Missouri",29512
"Stone County, Missouri",31527
"Sullivan County, Missouri",6317
"Taney County, Missouri",54720
"Texas County, Missouri",25671
"Vernon County, Missouri",20691
"Warren County, Missouri",33908
"Washington County, Missouri",24931
"Wayne County, Missouri",13308
"Webster County, Missouri",38082
"Worth County, Missouri",2040
"Wright County, Missouri",18293
"St. Louis city, Missouri",311273
"Beaverhead County, Montana",9393
"Big Horn County, Montana",13376
"Blaine County, Montana",6727
"Broadwater County, Montana",5834
"Carbon County, Montana",10546
"Carter County, Montana",1318
"Cascade County, Montana",81746
"Chouteau County, Montana",5789
"Custer County, Montana",11845
"Daniels County, Montana",1753
"Dawson County, Montana",9191
"Deer Lodge County, Montana",9100
"Fallon County, Montana",2838
"Fergus County, Montana",11273
"Flathead County, Montana",98082
"Gallatin County, Montana",104729
"Garfield County, Montana",1141
"Glacier County, Montana",13699
"Golden Valley County, Montana",724
"Granite County, Montana",3269
"Hill County, Montana",16439
"Jefferson County, Montana",11778
"Judith Basin County, Montana",1951
"Lake County, Montana",29774
"Lewis and Clark County, Montana",67077
"Liberty County, Montana",2280
"Lincoln County, Montana",19358
"McCone County, Montana",1630
"Madison County, Montana",8218
"Meagher County, Montana",1968
"Mineral County, Montana",4211
"Missoula County, Montana",115983
"Musselshell County, Montana",4807
"Park County, Montana",16246
"Petroleum County, Montana",432
"Phillips County, Montana",4124
"Pondera County, Montana",6044
"Powder River County, Montana",1619
"Powell County, Montana",6861
"Prairie County, Montana",1342
"Ravalli County, Montana",41902
"Richland County, Montana",11360
"Roosevelt County, Montana",11228
"Rosebud County, Montana",9250
"Sanders County, Montana",11521
"Sheridan County, Montana",3574
"Silver Bow County, Montana",34814
"Stillwater County, Montana",9410
"Sweet Grass County, Montana",3653
"Teton County, Montana",6080
"Toole County, Montana",4976
"Treasure County, Montana",777
"Valley County, Montana",7532
"Wheatland County, Montana",2149
"Wibaux County, Montana",1175
"Yellowstone County, Montana",157816
"Adams County, Nebraska",31583
"Antelope County, Nebraska",6372
"Arthur County, Nebraska",418
"Banner County, Nebraska",696
"Blaine County, Nebraska",480
"Boone County, Nebraska",5313
"Box Butte County, Nebraska",11089
"Boyd County, Nebraska",2042
"Brown County, Nebraska",2988
"Buffalo County, Nebraska",49030
"Burt County, Nebraska",6528
"Butler County, Nebraska",8067
"Cass County, Nebraska",25702
"Cedar County, Nebraska",8523
"Chase County, Nebraska",3734
"Cherry County, Nebraska",5790
"Cheyenne County, Nebraska",9852
"Clay County, Nebraska",6232
"Colfax County, Nebraska",10760
"Cuming County, Nebraska",8991
"Custer County, Nebraska",10830
"Dakota County, Nebraska",20317
"Dawes County, Nebraska",8896
"Dawson County, Nebraska",23804
"Deuel County, Nebraska",1894
"Dixon County, Nebraska",5746
"Dodge County, Nebraska",36683
"Douglas County, Nebraska",554992
"Dundy County, Nebraska",2023
"Fillmore County, Nebraska",5574
"Franklin County, Nebraska",3006
"Frontier County, Nebraska",2609
"Furnas County, Nebraska",4786
"Gage County, Nebraska",21595
"Garden County, Nebraska",1860
"Garfield County, Nebraska",1975
"Gosper County, Nebraska",2015
"Grant County, Nebraska",718
"Greeley County, Nebraska",2410
"Hall County, Nebraska",61343
"Hamilton County, Nebraska",9178
"Harlan County, Nebraska",3438
"Hayes County, Nebraska",943
"Hitchcock County, Nebraska",2843
"Holt County, Nebraska",10245
"Hooker County, Nebraska",691
"Howard County, Nebraska",6405
"Jefferson County, Nebraska",7188
"Johnson County, Nebraska",5197
"Kearney County, Nebraska",6552
"Keith County, Nebraska",8099
"Keya Paha County, Nebraska",792
"Kimball County, Nebraska",3667
"Knox County, Nebraska",8460
"Lancaster County, Nebraska",310094
"Lincoln County, Nebraska",35433
"Logan County, Nebraska",886
"Loup County, Nebraska",585
"McPherson County, Nebraska",454
"Madison County, Nebraska",35164
"Merrick County, Nebraska",7803
"Morrill County, Nebraska",4841
"Nance County, Nebraska",3554
"Nemaha County, Nebraska",7004
"Nuckolls County, Nebraska",4275
"Otoe County, Nebraska",15896
"Pawnee County, Nebraska",2676
"Perkins County, Nebraska",2907
"Phelps County, Nebraska",9120
"Pierce County, Nebraska",7157
"Platte County, Nebraska",33063
"Polk County, Nebraska",5255
"Red Willow County, Nebraska",10806
"Richardson County, Nebraska",8009
"Rock County, Nebraska",1350
"Saline County, Nebraska",14288
"Sarpy County, Nebraska",178351
"Saunders County, Nebraska",21024
"Scotts Bluff County, Nebraska",36255
"Seward County, Nebraska",17127
"Sheridan County, Nebraska",5234
"Sherman County, Nebraska",3042
"Sioux County, Nebraska",1266
"Stanton County, Nebraska",5992
"Thayer County, Nebraska",5098
"Thomas County, Nebraska",645
"Thurston County, Nebraska",7140
"Valley County, Nebraska",4224
"Washington County, Nebraska",20219
"Wayne County, Nebraska",9367
"Webster County, Nebraska",3571
"Wheeler County, Nebraska",822
"York County, Nebraska",13799
"Churchill County, Nevada",24010
"Clark County, Nevada",2141574
"Douglas County, Nevada",47828
"Elko County, Nevada",52252
"Esmeralda County, Nevada",981
"Eureka County, Nevada",1830
"Humboldt County, Nevada",16904
"Lander County, Nevada",5746
"Lincoln County, Nevada",5174
"Lyon County, Nevada",53155
"Mineral County, Nevada",4448
"Nye County, Nevada",43705
"Pershing County, Nevada",6611
"Storey County, Nevada",3941
"Washoe County, Nevada",450486
"White Pine County, Nevada",9737
"Carson City, Nevada",54467
"Belknap County, New Hampshire",60640
"Carroll County, New Hampshire",47840
"Cheshire County, New Hampshire",76263
"Coos County, New Hampshire",32038
"Grafton County, New Hampshire",89811
"Hillsborough County, New Hampshire",411087
"Merrimack County, New Hampshire",149452
"Rockingham County, New Hampshire",305129
"Strafford County, New Hampshire",128237
"Sullivan County, New Hampshire",43125
"Atlantic County, New Jersey",268539
"Bergen County, New Jersey",929999
"Burlington County, New Jersey",446367
"Camden County, New Jersey",507367
"Cape May County, New Jersey",93705
"Cumberland County, New Jersey",153400
"Essex County, New Jersey",793555
"Gloucester County, New Jersey",290852
"Hudson County, New Jersey",668631
"Hunterdon County, New Jersey",125051
"Mercer County, New Jersey",368762
"Middlesex County, New Jersey",826698
"Monmouth County, New Jersey",623387
"Morris County, New Jersey",494383
"Ocean County, New Jersey",591939
"Passaic County, New Jersey",504041
"Salem County, New Jersey",63336
"Somerset County, New Jersey",330176
"Sussex County, New Jersey",142298
"Union County, New Jersey",553066
"Warren County, New Jersey",106293
"Bernalillo County, New Mexico",677692
"Catron County, New Mexico",3539
"Chaves County, New Mexico",65459
"Cibola County, New Mexico",26978
"Colfax County, New Mexico",12353
"Curry County, New Mexico",50199
"De Baca County, New Mexico",2060
"Do�a Ana County, New Mexico",215338
"Eddy County, New Mexico",57437
"Grant County, New Mexico",28061
"Guadalupe County, New Mexico",4382
"Harding County, New Mexico",459
"Hidalgo County, New Mexico",4371
"Lea County, New Mexico",70126
"Lincoln County, New Mexico",19482
"Los Alamos County, New Mexico",18356
